Customer_ID,Visit_Date,Visit_Number,Total_Spend,Items_Purchased,Days_Since_Last_Visit,Age,Region,Product_Category,Product,SKU_ID,Engagement_Rate,Product_Satisfaction,Bounce_Rate,Conversion_Rate,Product_Purchase_Rate_by_Segment,Segmentation_Efficiency,Cart_Abandoned,City,City_Type,Churn_Risk,Visit_Month_Full,Group_Assignment,Group,Month
CUST-10316,2022-04-10,1.0,184.713671879227,8.0,38.0,50.0,West,Beauty & Personal Care,Face Wash,SKU-2327,1.0,2.0,82.41,0.6647492826673471,47.31,1.18,1.0,Helena,Rural,False,2022-04,,,
CUST-10306,2022-08-04,1.0,343.5400721525578,2.0,10.0,57.0,North,Books,Science Textbook,SKU-1500,1.0,5.0,80.71,2.0735344255456574,44.94,2.38,1.0,New York,Urban,True,2022-08,,,
CUST-10162,2022-03-15,1.0,291.85647107180944,7.0,29.0,60.0,South,Toys & Games,Board Game,SKU-1770,2.0,2.0,74.82,1.7468450562934803,49.54,4.54,1.0,Dallas,Urban,True,2022-03,,,
CUST-10036,2022-05-04,2.0,201.9146522435242,4.0,30.0,39.0,Central,Beauty & Personal Care,Perfume,SKU-1511,3.0,4.0,64.84,1.0435365507496768,36.18,3.74,0.0,Helena,Rural,False,2022-05,,,
CUST-10062,2023-08-03,2.0,253.01513379699185,6.0,38.0,41.0,Central,Home & Kitchen,Vacuum Cleaner,SKU-7451,4.0,4.0,23.39,1.6945172583299006,41.55,4.05,0.0,Dallas,Urban,False,2023-08,,,
CUST-10196,2023-02-07,2.0,296.1145640534777,5.0,15.0,29.0,Central,Clothing,Jeans,SKU-7473,1.0,3.0,81.12,1.0078125923529768,56.96,1.81,1.0,Boise,Rural,True,2023-02,,,
CUST-10270,2022-07-07,1.0,243.30327677845293,7.0,14.0,47.0,West,Beauty & Personal Care,Shampoo,SKU-4239,2.0,3.0,73.69,1.1184285598434807,12.91,2.28,1.0,Dover,Rural,True,2022-07,,,
CUST-10418,2023-06-15,1.0,191.6419644897137,4.0,10.0,30.0,Central,Books,Cookbook,SKU-3241,4.0,4.0,53.99,1.0088584036891701,45.47,2.21,0.0,Helena,Rural,False,2023-06,,,
CUST-10119,2022-05-02,4.0,165.58842928725727,1.0,28.0,23.0,South,Home & Kitchen,Cookware Set,SKU-4651,3.0,5.0,61.27,1.168303395610863,27.66,2.29,0.0,Dover,Rural,True,2022-05,,,
CUST-10204,2022-07-17,2.0,292.3189318785519,6.0,10.0,46.0,East,Books,Cookbook,SKU-8810,1.0,4.0,88.17,2.188424886569454,59.22,4.78,1.0,Dallas,Urban,False,2022-07,,,
CUST-10185,2023-07-12,3.0,199.0955192557049,4.0,36.0,48.0,Central,Sports & Outdoors,Yoga Mat,SKU-4039,4.0,4.0,21.96,0.5828296675458486,54.45,2.67,0.0,Boise,Rural,True,2023-07,,,
CUST-10277,2023-03-27,3.0,181.29110454987435,8.0,30.0,33.0,East,Sports & Outdoors,Yoga Mat,SKU-1398,3.0,5.0,69.54,1.0259394997304274,28.79,1.97,0.0,Dover,Rural,False,2023-03,,,
CUST-10210,2023-04-23,2.0,334.9735432582304,3.0,30.0,21.0,South,Books,Fiction Novel,SKU-3042,2.0,5.0,60.74,2.840152543080171,57.38,1.19,1.0,Dallas,Urban,True,2023-04,,,
CUST-10478,2022-12-14,1.0,275.46022329958737,6.0,25.0,39.0,South,Sports & Outdoors,Dumbbells,SKU-6280,5.0,4.0,58.38,0.7415404903301366,46.13,1.0,0.0,Dover,Rural,False,2022-12,,,
CUST-10026,2023-03-14,3.0,157.57083402216958,3.0,21.0,30.0,East,Toys & Games,Puzzle,SKU-8933,1.0,4.0,87.38,0.9687802134497081,33.42,1.83,1.0,Dover,Rural,False,2023-03,,,
CUST-10207,2023-07-03,1.0,168.80930628716683,4.0,36.0,36.0,South,Electronics,Laptop,SKU-9437,3.0,4.0,63.67,0.6765807288588326,23.62,2.56,0.0,Helena,Rural,True,2023-07,,,
CUST-10004,2022-10-17,1.0,345.78576350625013,5.0,38.0,39.0,East,Books,Fiction Novel,SKU-9462,2.0,4.0,72.88,2.415442211014623,27.02,1.23,1.0,New York,Urban,False,2022-10,,,
CUST-10247,2022-04-10,1.0,256.7792593454426,7.0,31.0,36.0,South,Electronics,Tablet,SKU-6642,3.0,4.0,46.04,1.7850212038018576,59.97,2.3,0.0,New York,Urban,False,2022-04,,,
CUST-10069,2022-03-28,1.0,243.17706975181247,6.0,17.0,47.0,North,Toys & Games,RC Car,SKU-7255,1.0,4.0,86.53,2.524866976525657,23.83,1.84,1.0,New York,Urban,False,2022-03,,,
CUST-10119,2022-07-13,2.0,222.1365034440068,5.0,35.0,64.0,South,Home & Kitchen,Blender,SKU-4684,3.0,2.0,52.8,0.5304724252185548,30.26,3.31,0.0,Dover,Rural,False,2022-07,,,
CUST-10071,2022-09-17,4.0,291.3719458805677,2.0,25.0,52.0,South,Books,Fiction Novel,SKU-1527,1.0,4.0,89.36,1.721367926825483,30.45,1.0,1.0,Chicago,Urban,True,2022-09,,,
CUST-10102,2022-04-02,2.0,476.2817837863128,3.0,37.0,31.0,East,Toys & Games,Puzzle,SKU-7153,3.0,3.0,50.65,1.5329369795772467,27.17,2.46,0.0,San Francisco,Urban,False,2022-04,,,
CUST-10289,2022-04-17,1.0,296.9396985744322,7.0,10.0,46.0,West,Electronics,Tablet,SKU-7347,3.0,3.0,67.04,1.704389116187987,40.42,3.25,0.0,Dallas,Urban,True,2022-04,,,
CUST-10075,2023-07-16,2.0,307.34602896071016,6.0,13.0,48.0,South,Electronics,Smartphone,SKU-5686,2.0,2.0,77.1,2.745055121503695,40.75,4.69,1.0,San Francisco,Urban,False,2023-07,,,
CUST-10087,2023-04-11,1.0,181.48567672682256,6.0,19.0,23.0,East,Beauty & Personal Care,Shampoo,SKU-8873,2.0,4.0,61.22,0.6138468655698838,19.28,2.54,1.0,Dover,Rural,False,2023-04,,,
CUST-10034,2022-06-07,1.0,455.3771643725064,3.0,20.0,64.0,North,Clothing,T-Shirt,SKU-3530,2.0,4.0,63.37,2.824394832679736,27.39,3.38,1.0,San Francisco,Urban,False,2022-06,,,
CUST-10285,2023-06-05,4.0,261.74766566018457,3.0,34.0,55.0,North,Home & Kitchen,Cookware Set,SKU-8626,3.0,4.0,57.0,0.8843040118109854,38.69,2.53,0.0,Helena,Rural,False,2023-06,,,
CUST-10103,2022-03-05,2.0,384.6553686548032,7.0,36.0,20.0,South,Electronics,Smartphone,SKU-4607,1.0,4.0,83.56,2.8158630286536153,14.78,1.53,1.0,San Francisco,Urban,False,2022-03,,,
CUST-10049,2022-10-04,1.0,232.52877036855512,3.0,32.0,31.0,North,Electronics,Smartphone,SKU-4116,1.0,3.0,88.33,0.7058093748465367,48.57,4.76,1.0,Dover,Rural,False,2022-10,,,
CUST-10260,2023-07-16,1.0,251.7158145781925,4.0,16.0,38.0,East,Home & Kitchen,Vacuum Cleaner,SKU-7033,2.0,4.0,68.74,2.068719879849292,35.69,2.76,1.0,New York,Urban,False,2023-07,,,
CUST-10278,2023-04-02,3.0,329.88860620495853,4.0,21.0,26.0,Central,Toys & Games,Puzzle,SKU-3216,3.0,5.0,48.62,1.913624228675795,10.87,2.72,0.0,San Francisco,Urban,False,2023-04,,,
CUST-10245,2023-03-28,4.0,188.2839624312032,1.0,30.0,51.0,North,Beauty & Personal Care,Shampoo,SKU-6475,1.0,5.0,85.26,0.9169692593463633,45.53,3.87,1.0,Helena,Rural,True,2023-03,,,
CUST-10467,2022-09-23,1.0,227.07121943044208,4.0,16.0,50.0,East,Beauty & Personal Care,Perfume,SKU-1753,1.0,4.0,84.73,1.0655971007565492,40.69,1.37,1.0,Boise,Rural,True,2022-09,,,
CUST-10150,2022-03-15,4.0,332.4153175845307,3.0,21.0,58.0,South,Clothing,T-Shirt,SKU-3731,1.0,4.0,87.38,2.260354616528298,38.77,2.01,1.0,Dallas,Urban,False,2022-03,,,
CUST-10189,2023-06-04,1.0,200.23597786628187,2.0,24.0,43.0,South,Sports & Outdoors,Running Shoes,SKU-1135,1.0,2.0,82.36,0.8005100682960113,26.61,2.44,1.0,Boise,Rural,False,2023-06,,,
CUST-10161,2022-10-27,3.0,450.6692881857558,3.0,11.0,46.0,Central,Beauty & Personal Care,Face Wash,SKU-2682,4.0,3.0,36.44,1.9701680202431573,33.39,2.52,0.0,San Francisco,Urban,False,2022-10,,,
CUST-10014,2022-06-04,3.0,279.8405324366845,4.0,23.0,48.0,East,Clothing,Jeans,SKU-7190,3.0,2.0,60.09,2.4601977307367386,39.25,3.68,0.0,Chicago,Urban,False,2022-06,,,
CUST-10011,2023-06-28,2.0,298.7332739461435,5.0,22.0,50.0,North,Electronics,Smartphone,SKU-3991,3.0,5.0,48.0,2.283244926243448,48.5,2.14,0.0,Chicago,Urban,False,2023-06,,,
CUST-10398,2023-04-11,1.0,316.2916035811345,4.0,13.0,42.0,West,Home & Kitchen,Blender,SKU-1551,3.0,3.0,57.67,1.8641600231232172,19.79,2.49,0.0,San Francisco,Urban,False,2023-04,,,
CUST-10048,2022-10-17,2.0,342.37035733243806,6.0,23.0,64.0,North,Books,Cookbook,SKU-1758,1.0,3.0,87.63,2.5550730687680487,17.45,4.59,1.0,Chicago,Urban,False,2022-10,,,
CUST-10220,2022-08-18,3.0,388.2536251049583,7.0,23.0,40.0,East,Clothing,Jeans,SKU-2473,4.0,5.0,55.23,2.5440039994273578,44.6,4.58,0.0,Dallas,Urban,False,2022-08,,,
CUST-10097,2023-08-23,1.0,305.35870746000927,8.0,25.0,64.0,Central,Sports & Outdoors,Dumbbells,SKU-8276,2.0,5.0,71.84,2.866002690997375,37.05,4.99,1.0,Dallas,Urban,False,2023-08,,,
CUST-10341,2022-04-05,1.0,304.48399590702627,3.0,16.0,27.0,South,Clothing,Jeans,SKU-7359,4.0,5.0,47.82,2.979861978396864,29.75,3.86,0.0,Dallas,Urban,False,2022-04,,,
CUST-10199,2023-08-07,1.0,327.86839966611547,4.0,28.0,60.0,Central,Sports & Outdoors,Running Shoes,SKU-3652,1.0,2.0,88.27,2.765983416481874,12.56,4.5,1.0,New York,Urban,False,2023-08,,,
CUST-10139,2022-08-07,3.0,199.1269504567865,3.0,11.0,38.0,Central,Sports & Outdoors,Dumbbells,SKU-8530,4.0,2.0,56.85,0.7279689994249138,44.62,1.78,0.0,Dover,Rural,False,2022-08,,,
CUST-10109,2022-10-29,3.0,302.8808047318775,4.0,19.0,63.0,Central,Books,Science Textbook,SKU-8068,4.0,4.0,57.18,0.7067559223707935,13.1,3.86,0.0,Boise,Rural,False,2022-10,,,
CUST-10106,2022-05-25,1.0,278.7523130639015,4.0,27.0,44.0,North,Books,Cookbook,SKU-1084,1.0,3.0,85.51,2.4293455263805175,36.02,2.74,1.0,Chicago,Urban,False,2022-05,,,
CUST-10021,2022-03-28,2.0,313.9101071042733,3.0,38.0,36.0,East,Beauty & Personal Care,Shampoo,SKU-1527,2.0,2.0,77.57,1.891151646565147,51.76,2.07,1.0,San Francisco,Urban,False,2022-03,,,
